stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\gabri\source\repos\MyProject\x64\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.04028] added dtor for sub_bitmap 000001926D3EFB90, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.04053] added dtor for sub_bitmap 000001926D3F0920, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.04069] added dtor for sub_bitmap 000001926D3EF9A0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.04083] added dtor for sub_bitmap 000001926D3EFD80, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.04097] added dtor for sub_bitmap 000001926D3F0EF0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.04355] added dtor for sub_bitmap 000001926D3EF5C0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.04567] added dtor for sub_bitmap 000001926D3F0540, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.04590] added dtor for sub_bitmap 000001926D3EF1E0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.04599] added dtor for sub_bitmap 000001926D3EF3D0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.04607] added dtor for sub_bitmap 000001926D3EF7B0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.04616] added dtor for sub_bitmap 000001926D3EFF70, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.04626] added dtor for sub_bitmap 000001926D3F0B10, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.04634] added dtor for sub_bitmap 000001926D3F0D00, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.04654] added dtor for sub_bitmap 000001926D3F0730, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.04662] added dtor for sub_bitmap 000001926D3F0160, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.04671] added dtor for sub_bitmap 000001926D3F0350, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.04690] added dtor for sub_bitmap 000001926D3F20D0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.04699] added dtor for sub_bitmap 000001926D3F22C0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.04777] added dtor for sub_bitmap 000001926D3F24B0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.04827] added dtor for sub_bitmap 000001926D3F26A0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.05286] added dtor for sub_bitmap 000001926D3F2890, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.05728] added dtor for sub_bitmap 000001926D3F2C70, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.05901] added dtor for sub_bitmap 000001926D3F2A80, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06127] added dtor for sub_bitmap 000001926D3F1CF0, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06148] added dtor for sub_bitmap 000001926D3F2E60, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06157] added dtor for sub_bitmap 000001926D3F1910, func 00007FFE47831190
dtor     D               dtor.c:196  _al_register_destructor          [   0.06167] added dtor for sub_bitmap 000001926D3F1EE0, func 00007FFE47831190
